,correlation,pvalue,abs_corr,Module,GS_PD
TXNDC5,0.7971953099813606,1.2024655372571723e-11,0.7971953099813606,green,0.707579676528074
LHFPL6,0.7962362851029146,1.3254242849427004e-11,0.7962362851029146,lightgreen,0.52595680113309
S100A11,0.7961534450962067,1.3365854275327386e-11,0.7961534450962067,green,0.607400561146989
OLFML2B,0.7961467286959758,1.3374942202466465e-11,0.7961467286959758,green,0.615020386909825
KDR,0.7960952536978538,1.3444786967936284e-11,0.7960952536978538,green,0.588401127803002
EVA1B,0.7948609633187654,1.522655052491766e-11,0.7948609633187654,green,0.745494064483803
AIG1,0.7940577923332242,1.650344240800077e-11,0.7940577923332242,green,0.584444648764318
COL15A1,0.7940297991952325,1.654972149790593e-11,0.7940297991952325,green,0.655835166600291
NREP,0.7931224393727805,1.8117979990923194e-11,0.7931224393727805,green,0.823197413217882
SLC1A5,0.7905274323770313,2.341499731202849e-11,0.7905274323770313,green,0.556089326299645
CYBA,0.7888729141563771,2.7523180696510845e-11,0.7888729141563771,green,0.700720130114674
PLS3,0.7886615264872431,2.8094630456008865e-11,0.7886615264872431,green,0.494826391138378
